Bussiness__City,Bussiness__Country,Bussiness__Description,Bussiness__Name,Bussiness__StreetAddress,Bussiness__Zipcode,Customer__Address__line1,Customer__Address__line2,Customer__Email,Customer__Name,Customer__PhoneNumber,Invoice__BillDetails__Name,Invoice__BillDetails__Quantity,Invoice__BillDetails__Rate,Invoice__Description,Invoice__DueDate,Invoice__IssueDate,Invoice__Number,Invoice__Tax
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",IR142985960936283388216470,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Darlene.Bosco@gmail.com,,964-775-2409,,,,,,38556,IR142985960936283388216470,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BR3803519232323247276576065W3,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,BR3803519232323247276576065W3,
"3741 Glory Road, Jamestown","AZ59DLHYBEO1IT3MJ72LGOL4JL1G
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, AZ59DLHYBEO1IT3MJ72LGOL4JL1G
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, AZ59DLHYBEO1IT3MJ72LGOL4JL1G
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, AZ59DLHYBEO1IT3MJ72LGOL4JL1G
Tennessee, USA Issue date
38556 12",Jill.Schowalter@gmail.com,,222-254-5978,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",XK944058827865015529,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,XK944058827865015529,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",GQ083553191771SJV5QSSSM3D54,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Richard_Rodriguez@hotm,,402-261-8314,,,,,,38556,GQ083553191771SJV5QSSSM3D54,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",UA037218533278852191454331781,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,UA037218533278852191454331781,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",DE05599409319446007186,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,DE05599409319446007186,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",LU88437F3E6NU0JVAMNC,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,LU88437F3E6NU0JVAMNC,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",TD6450872086008753274275290,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,TD6450872086008753274275290,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BH45VRKCGGS04E5OPZV07U,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,BH45VRKCGGS04E5OPZV07U,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",AD1259598032IYRT9W2ENAEE,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Richard_Rodriguez@hotm,,402-261-8314,,,,,,38556,AD1259598032IYRT9W2ENAEE,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",GQ4309138842393EARKL7KM2749,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Jill.Schowalter@gmail.com,,222-254-5978,,,,,,38556,GQ4309138842393EARKL7KM2749,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",PT50018498671400748986119,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,PT50018498671400748986119,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",FO8840123458407519,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,FO8840123458407519,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",TG67TS4201156943079376302586,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,TG67TS4201156943079376302586,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",KZ1265773YHN89NXI78X,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Richard_Rodriguez@hotm,,402-261-8314,,,,,,38556,KZ1265773YHN89NXI78X,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",MK11467CXXWJ5REOQ45,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,MK11467CXXWJ5REOQ45,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",MR1554185689725188627992186,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,MR1554185689725188627992186,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BF9364716875679263891122558,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Cary.Zboncak@gmail.com,,741-215-8162,,,,,,38556,BF9364716875679263891122558,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",HN20PHFQ75335674526196564941,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Terri.Ernser@yahoo.com,,415-897-1517,,,,,,38556,HN20PHFQ75335674526196564941,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BG82MUNG981175CXJNQF4W,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Richard_Rodriguez@hotm,,402-261-8314,,,,,,38556,BG82MUNG981175CXJNQF4W,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",IS808984758113858243536251,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,IS808984758113858243536251,
